Time,speed_ref,speed_sensor,curr_sensor,ctr_sig
17,300,0,0,1
18,300,0,0,1
19,300,0,0,1
20,300,0,0,1
20,300,0,0,1
21,300,0,0,1
22,300,0,0,1
23,300,0,0,1
24,300,0,0,1
25,300,0,0,1
26,300,0,0,1
27,300,0,0,1
28,300,0,0,1
29,300,0,0,1
30,300,0,0,1
31,300,0,0,1
33,300,0,0,1
34,300,0,0,1
35,300,0,0,1
36,300,0,0,1
37,300,0,0,1
38,300,0,0,1
39,300,0,0,1
40,300,0,0,1
41,300,0,0,1
43,300,0,0,1
44,300,0,0,1
45,300,0,0,1
47,300,0,0,1
48,300,0,0,1
49,300,0,0,1
50,300,0,0,1
51,300,0,0,1
52,300,0,0,1
53,300,0,0,1
54,300,0,0,1
55,300,0,0,1
56,300,0,0,1
57,300,0,0,1
58,300,0,0,1
59,300,0,0,1
61,300,0,0,1
62,300,0,0,1
63,300,0,0,1
64,300,0,0,1
65,300,0,0,1
66,300,0,0,1
67,300,0,0,1
68,300,0,0,1
69,300,0,0,1
70,300,0,0,1
71,300,0,0,1
72,300,0,0,1
73,300,0,0,1
75,300,0,0,1
76,300,0,0,1
77,300,0,0,1
78,300,0,0,1
79,300,0,0,1
80,300,0,0,1
81,300,0,0,1
82,300,0,0,1
83,300,0,0,1
84,300,0,0,1
86,300,0,0,1
87,300,0,0,1
89,300,0,0,1
90,300,0,0,1
91,300,0,0,1
92,300,0,0,1
93,300,0,0,1
94,300,0,0,1
95,300,0,0,1
96,300,0,0,1
97,300,0,0,1
98,300,0,0,1
99,300,0,0,1
100,300,0,0,1
102,300,0,0,1
103,300,0,0,1
104,300,0,0,1
105,300,0,0,1
106,300,0,0,1
107,300,0,0,1
109,300,0,0,1
110,300,0,0,1
111,300,0,0,1
112,300,0,0,1
113,300,0,0,1
114,300,0,0,1
116,300,0,0,1
117,300,0,0,1
118,300,0,0,1
119,300,0,0,1
120,300,0,0,1
121,300,0,0,1
122,300,0,0,1
124,300,0,0,1
125,300,0,0,1
126,300,0,0,1
128,300,0,0,1
129,300,0,0,1
130,300,0,0,1
132,300,0,0,1
133,300,0,0,1
134,300,0,0,1
135,300,0,0,1
136,300,0,0,1
137,300,0,0,1
139,300,0,0,1
140,300,0,0,1
141,300,0,0,1
142,300,0,0,1
143,300,0,0,1
144,300,0,0,1
146,300,0,0,1
147,300,0,0,1
148,300,0,0,1
149,300,0,0,1
150,300,0,0,1
151,300,0,0,1
153,300,0,0,1
154,300,0,0,1
155,300,0,0,1
156,300,0,0,1
157,300,0,0,1
158,300,0,0,1
160,300,0,0,1
161,300,0,0,1
162,300,0,0,1
163,300,0,0,1
164,300,0,0,1
165,300,0,0,1
166,300,0,0,1
168,300,0,0,1
169,300,0,0,1
171,300,0,0,1
172,300,0,0,1
173,300,0,0,1
174,300,0,0,1
176,300,0,0,1
177,300,0,0,1
178,300,0,0,1
179,300,0,0,1
180,300,0,0,1
181,300,0,0,1
183,300,0,0,1
184,300,0,0,1
185,300,0,0,1
186,300,0,0,1
187,300,0,0,1
188,300,0,0,1
190,300,0,0,1
191,300,0,0,1
192,300,0,0,1
193,300,0,0,1
194,300,0,0,1
195,300,0,0,1
197,300,0,0,1
198,300,0,0,1
199,300,0,0,1
200,300,0,0,1
201,300,0,0,1
202,300,0,0,1
203,300,0,0,1
205,300,0,0,1
206,300,0,0,1
207,300,0,0,1
208,300,0,0,1
209,300,0,0,1
210,300,0,0,1
212,300,0,0,1
214,300,0,0,1
215,300,0,0,1
216,300,0,0,1
217,300,0,0,1
218,300,0,0,1
220,300,0,0,1
221,300,0,0,1
222,300,0,0,1
223,300,0,0,1
224,300,0,0,1
225,300,0,0,1
227,300,0,0,1
228,300,0,0,1
229,300,0,0,1
230,300,0,0,1
231,300,0,0,1
232,300,0,0,1
234,300,0,0,1
235,300,0,0,1
236,300,0,0,1
237,300,0,0,1
238,300,0,0,1
239,300,0,0,1
241,300,0,0,1
242,300,0,0,1
243,300,0,0,1
244,300,0,0,1
245,300,0,0,1
246,300,0,0,1
247,300,0,0,1
249,300,0,0,1
250,300,0,0,1
251,300,0,0,1
252,300,0,0,1
253,300,0,0,1
254,300,0,0,1
257,300,0,0,1
258,300,0,0,1
259,300,0,0,1
260,300,0,0,1
261,300,0,0,1
262,300,0,0,1
264,300,0,0,1
265,300,0,0,1
266,300,0,0,1
267,300,0,0,1
268,300,0,0,1
269,300,0,0,1
271,300,0,0,1
272,300,0,0,1
273,300,0,0,1
274,300,0,0,1
275,300,0,0,1
276,300,0,0,1
278,300,0,0,1
279,300,0,0,1
280,300,0,0,1
281,300,0,0,1
282,300,0,0,1
283,300,0,0,1
285,300,0,0,1
286,300,0,0,1
287,300,0,0,1
288,300,0,0,1
289,300,0,0,1
290,300,0,0,1
291,300,0,0,1
293,300,0,0,1
294,300,0,0,1
295,300,0,0,1
296,300,0,0,1
297,300,0,0,1
299,300,0,0,1
301,300,0,0,1
