time,curr_ref,curr_sensor,ctr_sig
689,1200,0,5000
856,1200,0,5000
1020,1200,0,5000
1196,1200,0,5000
1381,1200,0,5000
1558,1200,0,5000
1733,1200,0,5000
1902,1200,0,5000
2077,1200,0,5000
2254,1200,0,5000
2428,1200,0,5000
2603,1200,73,5000
2778,1200,73,5000
2956,1200,73,5000
3131,1200,208,5000
3307,1200,208,5000
3482,1200,208,5000
3657,1200,269,5000
3834,1200,269,5000
4011,1200,327,5000
4185,1200,327,5000
4347,1200,327,5000
4521,1200,434,5000
4690,1200,434,5000
4867,1200,434,5000
5043,1200,483,5000
5220,1200,483,5000
5389,1200,529,5000
5565,1200,529,5000
5740,1200,529,5000
5916,1200,613,5000
6092,1200,613,5000
6267,1200,613,5000
6444,1200,651,5000
6619,1200,651,5000
6803,1200,687,5000
6988,1200,687,5000
7150,1200,687,5000
7325,1200,754,5000
7495,1200,754,5000
7669,1200,754,5000
7840,1200,784,5000
8015,1200,784,5000
8192,1200,813,5000
8367,1200,813,5000
8545,1200,813,5000
8720,1200,865,5000
8895,1200,865,5000
9069,1200,865,5000
9230,1200,889,5000
9398,1200,889,5000
9566,1200,912,5000
9744,1200,912,5000
9920,1200,912,5000
10097,1200,953,5000
10271,1200,953,5000
10447,1200,953,5000
10624,1200,972,5000
10799,1200,972,5000
10977,1200,990,5000
11154,1200,990,5000
11320,1200,990,5000
11495,1200,1023,5000
11669,1200,1023,5000
11837,1200,1023,5000
12013,1200,1038,5000
12189,1200,1038,5000
12374,1200,1052,5000
12541,1200,1052,5000
12719,1200,1052,5000
12893,1200,1077,5000
13068,1200,1077,5000
13243,1200,1077,5000
13417,1200,1089,5000
13595,1200,1089,5000
13771,1200,1100,5000
13954,1200,1100,5000
14137,1200,1100,5000
14312,1200,1120,5000
14486,1200,1120,5000
14662,1200,1120,5000
14824,1200,1130,5000
15000,1200,1130,5000
15175,1200,1138,5000
15351,1200,1138,5000
15526,1200,1138,5000
15707,1200,1154,5000
15886,1200,1154,5000
16090,1200,1154,5000
16258,1200,1161,5000
16438,1200,1161,5000
16622,1200,1168,5000
16799,1200,1168,5000
16975,1200,1168,5000
17148,1200,1180,5000
17323,1200,1180,5000
17494,1200,1180,5000
17670,1200,1186,5000
17847,1200,1186,5000
18014,1200,1191,5000
18181,1200,1191,5000
18358,1200,1191,5000
18533,1200,1201,0
18703,1200,1201,0
18869,1200,1201,0
19045,1200,1205,0
19211,1200,1205,0
19378,1200,1209,0
19546,1200,1209,0
19712,1200,1209,0
19880,1200,1217,0
20055,1200,1217,0
20225,1200,1217,0
20391,1200,1220,0
20568,1200,1220,0
20743,1200,1223,0
20920,1200,1223,0
21096,1200,1223,0
21269,1200,1229,0
21440,1200,1229,0
21616,1200,1229,0
21785,1200,1232,0
21960,1200,1232,0
22128,1200,1234,0
22304,1200,1234,0
22480,1200,1234,0
22656,1200,1239,0
22827,1200,1239,0
23006,1200,1239,0
23184,1200,1241,0
23359,1200,1241,0
23529,1200,1243,0
23703,1200,1243,0
23877,1200,1243,0
24047,1200,1246,0
24206,1200,1246,0
24364,1200,1246,0
24534,1200,1247,0
24704,1200,1247,0
24863,1200,1249,0
25038,1200,1249,0
25214,1200,1249,0
25380,1200,1251,0
25548,1200,1251,0
25719,1200,1251,0
25875,1200,1252,0
26043,1200,1252,0
26211,1200,1254,0
26372,1200,1254,0
26539,1200,1254,0
26714,1200,1255,0
26877,1200,1255,0
27038,1200,1255,0
27213,1200,1256,0
27375,1200,1256,0
27558,1200,1257,0
27734,1200,1257,0
27905,1200,1257,0
28067,1200,1258,0
28240,1200,1258,0
28409,1200,1258,0
28569,1200,1259,0
28738,1200,1259,0
28930,1200,1259,0
29125,1200,1259,0
29300,1200,1259,0
29462,1200,1260,0
29652,1200,1260,0
29827,1200,1260,0
30010,1200,1261,0
30174,1200,1261,0
30351,1200,1261,0
30540,1200,1261,0
30704,1200,1261,0
30880,1200,1261,0
31062,1200,1261,0
31255,1200,1261,0
31437,1200,1262,0
31639,1200,1262,0
31837,1200,1262,0
31996,1200,1262,0
32174,1200,1262,0
32353,1200,1262,0
32541,1200,1262,0
32709,1200,1262,0
32880,1200,1262,0
33063,1200,1262,0
33239,1200,1262,0
33432,1200,1262,0
33619,1200,1262,0
33812,1200,1262,0
34009,1200,1262,0
34194,1200,1262,0
34376,1200,1262,0
34552,1200,1262,0
34746,1200,1262,0
34939,1200,1262,0
35118,1200,1262,0
35304,1200,1262,0
35545,1200,1262,0
35742,1200,1262,0
35929,1200,1262,0
36128,1200,1262,0
36315,1200,1262,0
36495,1200,1262,0
36677,1200,1262,0
36869,1200,1262,0
37064,1200,1262,0
37266,1200,1262,0
37454,1200,1262,0
37653,1200,1262,0
37852,1200,1262,0
38051,1200,1262,0
38242,1200,1262,0
38439,1200,1261,0
38649,1200,1261,0
38844,1200,1261,0
39041,1200,1261,0
39251,1200,1261,0
39444,1200,1261,0
39660,1200,1261,0
39862,1200,1261,0
40060,1200,1261,0
40269,1200,1261,0
40468,1200,1261,0
40672,1200,1260,0
40860,1200,1260,0
41073,1200,1260,0
41272,1200,1260,0
41480,1200,1260,0
41687,1200,1260,0
41880,1200,1260,0
42075,1200,1260,0
42274,1200,1259,0
42471,1200,1259,0
42678,1200,1259,0
42891,1200,1259,0
43092,1200,1259,0
43303,1200,1259,0
43509,1200,1259,0
43722,1200,1259,0
43922,1200,1258,0
44128,1200,1258,0
44328,1200,1258,0
44549,1200,1258,0
44761,1200,1258,0
44979,1200,1258,0
45196,1200,1258,0
45416,1200,1258,0
45622,1200,1257,0
45830,1200,1257,0
46036,1200,1257,0
46242,1200,1257,0
46457,1200,1257,0
46661,1200,1256,0
46892,1200,1256,0
47107,1200,1256,0
47324,1200,1256,0
47532,1200,1256,0
47751,1200,1256,0
47971,1200,1256,0
48198,1200,1256,0
48418,1200,1255,0
48627,1200,1255,0
48839,1200,1255,0
49044,1200,1255,0
49262,1200,1255,0
49486,1200,1255,0
49707,1200,1255,0
49935,1200,1255,0
50140,1200,1254,0
50374,1200,1254,0
50604,1200,1254,0
50849,1200,1254,0
51063,1200,1254,0
51308,1200,1253,0
51538,1200,1253,0
51781,1200,1253,0
52035,1200,1253,0
52254,1200,1253,0
52480,1200,1253,0
52718,1200,1252,0
52951,1200,1252,0
53163,1200,1252,0
53407,1200,1252,0
53649,1200,1252,0
53886,1200,1251,0
54115,1200,1251,0
54341,1200,1251,0
54571,1200,1251,0
54808,1200,1251,0
55048,1200,1251,0
55286,1200,1251,0
55526,1200,1251,0
55759,1200,1250,0
56026,1200,1250,0
56300,1200,1250,0
56520,1200,1250,0
56747,1200,1250,0
56965,1200,1249,0
57164,1200,1249,0
57356,1200,1249,0
57550,1200,1249,0
57741,1200,1249,0
57939,1200,1249,0
58148,1200,1248,0
58369,1200,1248,0
58586,1200,1248,0
58805,1200,1248,0
59027,1200,1248,0
59235,1200,1247,0
59456,1200,1247,0
59659,1200,1247,0
59835,1200,1247,0
60048,1200,1247,0
60241,1200,1247,0
60440,1200,1247,0
60659,1200,1247,0
60865,1200,1246,0
61048,1200,1246,0
61241,1200,1246,0
61447,1200,1246,0
61675,1200,1246,0
61891,1200,1245,0
62124,1200,1245,0
62339,1200,1245,0
62544,1200,1245,0
62749,1200,1245,0
62981,1200,1245,0
63198,1200,1244,0
63398,1200,1244,0
63619,1200,1244,0
63831,1200,1244,0
64054,1200,1244,0
64260,1200,1243,0
64468,1200,1243,0
64667,1200,1243,0
64871,1200,1243,0
65087,1200,1243,0
65296,1200,1242,0
65510,1200,1242,0
65713,1200,1242,0
65948,1200,1242,0
66157,1200,1242,0
66358,1200,1242,0
66568,1200,1241,0
66779,1200,1241,0
66987,1200,1241,0
67190,1200,1241,0
67405,1200,1241,0
67615,1200,1240,0
67827,1200,1240,0
68037,1200,1240,0
68237,1200,1240,0
68446,1200,1240,0
68682,1200,1240,0
68886,1200,1240,0
69093,1200,1240,0
69318,1200,1239,0
69561,1200,1239,0
69820,1200,1239,0
70113,1200,1239,0
70372,1200,1239,0
70659,1200,1238,0
70938,1200,1238,0
71211,1200,1238,0
71515,1200,1238,0
71790,1200,1238,0
72067,1200,1238,0
72344,1200,1237,0
72616,1200,1237,0
72890,1200,1237,0
73163,1200,1237,0
73442,1200,1237,0
73720,1200,1236,0
74003,1200,1236,0
74279,1200,1236,0
74553,1200,1236,0
74841,1200,1236,0
75124,1200,1236,0
75402,1200,1236,0
75696,1200,1236,0
75982,1200,1235,0
76258,1200,1235,0
76532,1200,1235,0
76815,1200,1235,0
77099,1200,1235,0
77377,1200,1234,0
77659,1200,1234,0
77957,1200,1234,0
78256,1200,1233,0
78561,1200,1233,0
78856,1200,1233,0
79154,1200,1233,0
79430,1200,1233,0
79720,1200,1233,0
80002,1200,1233,0
80296,1200,1233,0
80594,1200,1232,0
80906,1200,1232,0
81212,1200,1232,0
81500,1200,1232,0
81820,1200,1232,0
82124,1200,1231,0
82426,1200,1231,0
82717,1200,1231,0
83018,1200,1231,0
83309,1200,1231,0
83608,1200,1231,0
83929,1200,1230,0
84240,1200,1230,0
84564,1200,1230,0
84862,1200,1230,0
85171,1200,1230,0
85462,1200,1229,0
85750,1200,1229,0
86064,1200,1229,0
86371,1200,1229,0
86702,1200,1229,0
86998,1200,1229,0
87308,1200,1229,0
87601,1200,1229,0
87907,1200,1228,0
88190,1200,1228,0
88470,1200,1228,0
88781,1200,1228,0
89073,1200,1228,0
89359,1200,1227,0
89649,1200,1227,0
89926,1200,1227,0
90213,1200,1227,0
90480,1200,1227,0
90755,1200,1227,0
91034,1200,1226,0
91328,1200,1226,0
91617,1200,1226,0
91912,1200,1226,0
92239,1200,1226,0
92549,1200,1225,0
92857,1200,1225,0
93171,1200,1225,0
93495,1200,1225,0
93828,1200,1225,0
94143,1200,1225,0
94460,1200,1225,0
94790,1200,1225,0
95064,1200,1224,0
95348,1200,1224,0
95631,1200,1224,0
95923,1200,1223,0
96198,1200,1223,0
96503,1200,1223,0
96802,1200,1223,0
97103,1200,1223,0
97408,1200,1222,0
97720,1200,1222,0
98027,1200,1222,0
98330,1200,1222,0
98660,1200,1222,0
98941,1200,1222,0
99219,1200,1222,0
99505,1200,1222,0
99791,1200,1221,0
100068,1200,1221,0
100365,1200,1221,0
100649,1200,1221,0
100942,1200,1221,0
101259,1200,1220,0
101578,1200,1220,0
101904,1200,1220,0
102238,1200,1220,0
102626,1200,1220,0
102976,1200,1220,0
103319,1200,1219,0
103638,1200,1219,0
103964,1200,1219,0
104311,1200,1219,0
104647,1200,1219,0
105003,1200,1218,0
105326,1200,1218,0
105643,1200,1218,0
105990,1200,1218,0
106328,1200,1218,0
106668,1200,1218,0
107025,1200,1218,0
107362,1200,1218,0
107710,1200,1217,0
108047,1200,1217,0
108390,1200,1217,0
108752,1200,1217,0
109124,1200,1217,0
109458,1200,1216,0
109782,1200,1216,0
110129,1200,1216,0
110490,1200,1216,0
110875,1200,1216,0
111183,1200,1216,0
111517,1200,1215,0
111825,1200,1215,0
112138,1200,1215,0
112452,1200,1215,0
112762,1200,1215,0
113087,1200,1214,0
113412,1200,1214,0
113741,1200,1214,0
114089,1200,1214,0
114435,1200,1214,0
114816,1200,1214,0
115179,1200,1214,0
115536,1200,1214,0
115900,1200,1213,0
116253,1200,1213,0
116632,1200,1213,0
116999,1200,1213,0
117389,1200,1213,0
117749,1200,1212,0
118102,1200,1212,0
118464,1200,1212,0
118821,1200,1212,0
119165,1200,1212,0
119496,1200,1212,0
119827,1200,1211,0
120130,1200,1211,0
120414,1200,1211,0
120710,1200,1211,0
121052,1200,1211,0
121345,1200,1210,0
121626,1200,1210,0
121905,1200,1210,0
122200,1200,1210,0
122489,1200,1210,0
122799,1200,1209,0
123107,1200,1209,0
123421,1200,1209,0
123742,1200,1209,0
124100,1200,1209,0
124603,1200,1209,0
125064,1200,1208,0
125533,1200,1208,0
126052,1200,1208,0
126525,1200,1208,0
126983,1200,1208,0
127465,1200,1207,0
127938,1200,1207,0
128412,1200,1207,0
128880,1200,1207,0
129355,1200,1207,0
129832,1200,1207,0
130309,1200,1207,0
130793,1200,1207,0
131273,1200,1206,0
131749,1200,1206,0
132283,1200,1206,0
132775,1200,1206,0
133276,1200,1206,0
133770,1200,1205,0
134261,1200,1205,0
134727,1200,1205,0
135211,1200,1205,0
135700,1200,1205,0
136184,1200,1205,0
136670,1200,1204,0
137168,1200,1204,0
137647,1200,1204,0
138143,1200,1204,0
138705,1200,1204,0
139202,1200,1203,0
139699,1200,1203,0
140191,1200,1203,0
140688,1200,1203,0
141170,1200,1203,0
141671,1200,1203,0
142154,1200,1203,0
142652,1200,1203,0
143154,1200,1202,0
143654,1200,1202,0
144163,1200,1202,0
144658,1200,1202,0
145179,1200,1202,0
145671,1200,1201,0
146197,1200,1201,0
146713,1200,1201,0
147226,1200,1201,0
147734,1200,1201,0
148243,1200,1201,0
148764,1200,1200,0
149266,1200,1200,0
149766,1200,1200,0
150288,1200,1200,0
150837,1200,1200,0
151342,1200,1199,2584
151856,1200,1199,2584
152344,1200,1199,2584
152875,1200,1199,2584
153382,1200,1199,2584
153918,1200,1199,2584
